mysql> use instagram_clone_db;
Database changed
mysql> show tables;
+------------------------------+
| Tables_in_instagram_clone_db |
+------------------------------+
| comments                     |
| follows                      |
| likes                        |
| photo_tags                   |
| photos                       |
| tags                         |
| users                        |
+------------------------------+
7 rows in set (0.03 sec)

mysql> select*from users;
+-----+-----------------------+---------------------+
| id  | username              | created_at          |
+-----+-----------------------+---------------------+
|   1 | Kenton_Kirlin         | 2017-02-16 18:22:11 |
|   2 | Andre_Purdy85         | 2017-04-02 17:11:21 |
|   3 | Harley_Lind18         | 2017-02-21 11:12:33 |
|   4 | Arely_Bogan63         | 2016-08-13 01:28:43 |
|   5 | Aniya_Hackett         | 2016-12-07 01:04:39 |
|   6 | Travon.Waters         | 2017-04-30 13:26:14 |
|   7 | Kasandra_Homenick     | 2016-12-12 06:50:08 |
|   8 | Tabitha_Schamberger11 | 2016-08-20 02:19:46 |
|   9 | Gus93                 | 2016-06-24 19:36:31 |
|  10 | Presley_McClure       | 2016-08-07 16:25:49 |
|  11 | Justina.Gaylord27     | 2017-05-04 16:32:16 |
|  12 | Dereck65              | 2017-01-19 01:34:14 |
|  13 | Alexandro35           | 2017-03-29 17:09:02 |
|  14 | Jaclyn81              | 2017-02-06 23:29:16 |
|  15 | Billy52               | 2016-10-05 14:10:20 |
|  16 | Annalise.McKenzie16   | 2016-08-02 21:32:46 |
|  17 | Norbert_Carroll35     | 2017-02-06 22:05:43 |
|  18 | Odessa2               | 2016-10-21 18:16:56 |
|  19 | Hailee26              | 2017-04-29 18:53:40 |
|  20 | Delpha.Kihn           | 2016-08-31 02:42:30 |
|  21 | Rocio33               | 2017-01-23 11:51:15 |
|  22 | Kenneth64             | 2016-12-27 09:48:17 |
|  23 | Eveline95             | 2017-01-23 23:14:19 |
|  24 | Maxwell.Halvorson     | 2017-04-18 02:32:44 |
|  25 | Tierra.Trantow        | 2016-10-03 12:49:21 |
|  26 | Josianne.Friesen      | 2016-06-07 12:47:01 |
|  27 | Darwin29              | 2017-03-18 03:10:07 |
|  28 | Dario77               | 2016-08-18 07:15:03 |
|  29 | Jaime53               | 2016-09-11 18:51:57 |
|  30 | Kaley9                | 2016-09-23 21:24:20 |
|  31 | Aiyana_Hoeger         | 2016-09-29 20:28:12 |
|  32 | Irwin.Larson          | 2016-08-26 19:36:22 |
|  33 | Yvette.Gottlieb91     | 2016-11-14 12:32:01 |
|  34 | Pearl7                | 2016-07-08 21:42:01 |
|  35 | Lennie_Hartmann40     | 2017-03-30 03:25:22 |
|  36 | Ollie_Ledner37        | 2016-08-04 15:42:20 |
|  37 | Yazmin_Mills95        | 2016-07-27 00:56:44 |
|  38 | Jordyn.Jacobson2      | 2016-05-14 07:56:26 |
|  39 | Kelsi26               | 2016-06-08 17:48:08 |
|  40 | Rafael.Hickle2        | 2016-05-19 09:51:26 |
|  41 | Mckenna17             | 2016-07-17 17:25:45 |
|  42 | Maya.Farrell          | 2016-12-11 18:04:45 |
|  43 | Janet.Armstrong       | 2016-10-06 07:57:44 |
|  44 | Seth46                | 2016-07-07 11:40:27 |
|  45 | David.Osinski47       | 2017-02-05 21:23:37 |
|  46 | Malinda_Streich       | 2016-07-09 21:37:08 |
|  47 | Harrison.Beatty50     | 2016-09-02 03:48:38 |
|  48 | Granville_Kutch       | 2016-06-26 03:10:22 |
|  49 | Morgan.Kassulke       | 2016-10-30 12:42:31 |
|  50 | Gerard79              | 2016-08-23 19:47:44 |
|  51 | Mariano_Koch3         | 2017-04-17 14:14:46 |
